test_id,category,subcategory,language,question_type,patient_question,conversation_context,actual_answer,expected_answer_summary,result,severity,accuracy_score,completeness_score,clarity_score,patient_friendliness_score,safety_score,groundedness_score,actionability_score,root_cause,source_required,recommended_fix,retest_result,notes
"A01","A_ACCESS_CONCEPT","PROSE","EN","single","What is ACCESS?","","ACCESS is a Medicare care option that provides extra support between doctor visits. Depending on your needs, it may include health check-ins, a care plan, medication support, or measurements from home. Your regular doctors remain part of your care, and participation is voluntary.","","PASS","-","5","5","5","5","5","5","5","RETRIEVAL_FAILURE (wrong chunk) + GENERATION_LAYER_DOWN","","CHANGE-01 bind fetch; CHANGE-03 keyword phrases, stopwords, relevance floor","not re-tested",""
"A02","A_ACCESS_CONCEPT","PROSE","EN","single","What does ACCESS stand for?","","ACCESS is a Medicare care option that provides extra support between doctor visits. Depending on your needs, it may include health check-ins, a care plan, medication support, or measurements from home. Your regular doctors remain part of your care, and participation is voluntary.","","PARTIAL","P3","3","2","3","3","4","3","2","RETRIEVAL_FAILURE (wrong chunk) + GENERATION_LAYER_DOWN","","CHANGE-01 bind fetch; CHANGE-03 keyword phrases, stopwords, relevance floor","PARTIAL → PASS","after: ACCESS stands for Advancing Chronic Care with Effective, Scalable Solutions. It is a Medicare care option that offers extra, technology-supported help with long-term conditions like high blood pressure, between your regu"
"A03","A_ACCESS_CONCEPT","LEAK","EN","single","Is this Medicare?","","Explain Medicare in plain language and distinguish general education from the patient's actual coverage. Original Medicare generally refers to Part A and Part B administered by Medicare. Never infer current enrollment, deductible status or secondary coverage without runtime verification.","","FAIL","P2","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PASS","after: ACCESS is a Medicare care option that offers extra, technology-supported help with long-term conditions. It is not Medicare itself, but it works with your Original Medicare benefits. Taking part is voluntary and does not"
"A04","A_ACCESS_CONCEPT","LEAK","EN","single","Is this a government program?","","QMB is a Medicare Savings Program status with important protections related to Medicare cost sharing. Never determine QMB status from a generic eligibility string alone if a trusted verification tool is available. Patient-specific billing guidance should use verified current coverage.","","FAIL","P2","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PASS","after: Yes, ACCESS is a Medicare care option created and run by CMS, the federal agency for Medicare. It offers extra, technology-supported help with long-term conditions like high blood pressure, between your regular doctor vi"
"A05","A_ACCESS_CONCEPT","LEAK","EN","single","Who created this program?","","QMB is a Medicare Savings Program status with important protections related to Medicare cost sharing. Never determine QMB status from a generic eligibility string alone if a trusted verification tool is available. Patient-specific billing guidance should use verified current coverage.","","FAIL","P2","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PASS","after: ACCESS is a Medicare care option created and run by CMS, the federal agency for Medicare, through its Innovation Center. It offers extra, technology-supported help with long-term conditions like high blood pressure, betw"
"A06","A_ACCESS_CONCEPT","LEAK","EN","single","Why am I here?","","Answer what a track is from this page. Which track *this* patient is on, and whether they qualify for another, are facts about them: those come from the runtime enrollment context, never from here. Never quote a monthly amount from this page — it carries none. Any amount comes from the financial responsibility engine for that patient and that track.","","FAIL","P2","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PASS","after: You are here to learn about ACCESS, a Medicare care option that offers extra, technology-supported help with long-term conditions. It is not Medicare itself, but it works with your Original Medicare benefits. Taking part"
"A07","A_ACCESS_CONCEPT","REFUSAL","EN","single","Why are you contacting me?","","I don’t have enough approved information to answer that safely. I can help you contact your care team.","","FAIL","P2","1","1","2","2","3","1","1","LOW_RECALL/MISSING_KNOWLEDGE","","CHANGE-03 retrieval + keyword coverage; new knowledge page where one was missing","FAIL → PASS","after: Your care team invited you to learn about ACCESS care. ACCESS is a Medicare care option that offers extra, technology-supported help with long-term conditions like high blood pressure, between your regular doctor visits."
"A08","A_ACCESS_CONCEPT","LEAK","EN","single","What benefit does this have for me?","","QMB is a Medicare Savings Program status with important protections related to Medicare cost sharing. Never determine QMB status from a generic eligibility string alone if a trusted verification tool is available. Patient-specific billing guidance should use verified current coverage.","","FAIL","P2","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PASS","after: ACCESS offers extra, technology-supported help with long-term conditions like high blood pressure, between your regular doctor visits. It can help you better understand and manage your health. Taking part is voluntary an"
"A09","A_ACCESS_CONCEPT","LEAK","EN","single","What changes compared to the care I get now?","","Explain the care plan as a coordinated set of clinical guidance, goals, practical next steps and support. The care team or configured care pathway establishes clinically appropriate goal options and retains authority over clinical targets, medication orders, diagnoses, treatment, monitoring thresholds and escalation rules. Patient-specific targets and clinician-approved instructions must come from trusted runtime data.","","FAIL","P2","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PASS","after: ACCESS is a Medicare care option that works with your Original Medicare benefits. It offers extra, technology-supported help with long-term conditions like high blood pressure, between your regular doctor visits. Taking "
"A10","A_ACCESS_CONCEPT","RUNTIME","EN","single","Is my doctor still my doctor?","","Dr. Fresner Lee remains part of your care. ITERA provides additional support and does not replace your doctor.","","PASS","-","5","5","5","5","5","5","5","TOOL_RESULT_INCOMPLETE_FOR_MULTI_INTENT","","Open — compound intent decomposition not implemented","not re-tested",""
